poiID,poiName,poiLat,poiLon,poiTheme
1,Camp_Nou,41.380896,2.1228198,Sport
2,Park_Guell,41.4144948,2.1526945,Park
3,Placa_de_Catalunya,41.3870154,2.1700471,Shopping
4,Casa_Batllo,41.3916384,2.1647698,Education
5,La_Maquinista,41.4425713,2.200075,Shopping
6,Diagonal_Mar,41.4099658,2.2166369,Shopping
7,Maremagnum,41.375182,2.182867,Shopping
8,Aquarium_Barcelona,41.376837,2.184338,Zoo
9,L'illa_Diagonal,41.3898016,2.1355821,Shopping
10,Arenas_de_Barcelona,41.3763184,2.1493331,Shopping
11,Glories,41.4054839,2.1914859,Shopping
12,Hospital_de_la_Santa_Creu_i_Sant_Pau,41.4136997,2.174314,Historical
13,Parc_d'Atraccions_Tibidabo,41.4218508,2.1191727,Amusement
14,CosmoCaixa_Barcelona,41.412972,2.131551,Museum
15,Poble_Espanyol,41.3688085,2.1482732,Museum
16,Picasso_Museum,41.385216,2.1808927,Museum
17,Museu_Nacional_d'Art_de_Catalunya,41.3684399,2.15357,Museum
18,El_Born_Centre_Cultural,41.3858255,2.183815,Museum
19,Barcelona_Museum_of_Contemporary_Art,41.3831913,2.1668668,Museum
20,Maritime_Museum,41.3752357,2.1759475,Museum
21,Museu_del_Futbol_Club_Barcelona,41.3802643,2.1209085,Museum
22,Joan_Miro_Foundation,41.3686304,2.1598509,Museum
23,Centre_de_Cultura_Contemporania_de_Barcelona,41.383786,2.166775,Museum
24,Recinte_Modernista_de_Sant_Pau,41.4118413,2.1744033,Museum
25,The_Design_Museum_of_Barcelona,41.402451,2.1880918,Museum
26,Museu_de_Ciencies_Naturals_de_Barcelona,41.4109037,2.220845,Museum
27,Gaudi_House_Museum,41.4144709,2.1536154,Museum
28,History_Museum_of_Catalonia,41.3808622,2.1857137,Museum
29,Museum_of_the_History_of_Barcelona,41.3839062,2.177837,Museum
30,Museu_Erotic_de_Barcelona,41.3822323,2.1725816,Museum
