poiID,poiName,poiLat,poiLon,poiTheme
1,Coca-Cola_London_Eye,51.503324,-0.119543,Entertainment
2,The_British_Museum,51.5194133,-0.1269566,Museum
3,Tower_Bridge,51.5054564,-0.0753565,Transport
4,Hyde_Park,51.5072682,-0.1657303,Park
5,Trafalgar_Square,51.508039,-0.128069,Entertainment
6,Covent_Garden,51.5119989,-0.122765,Shopping
7,Madame_Tussauds_London,51.5230457,-0.1543453,Museum
8,Science_Museum,51.4978095,-0.1745235,Museum
9,Westfield_London,51.5075955,-0.2194107,Shopping
10,Victoria_and_Albert_Museum,51.4966392,-0.17218,Museum
11,Sky_Garden,51.5111997,-0.083541,Building
12,The_Regent's_Park,51.5312705,-0.1569694,Park
13,Queen_Elizabeth_Olympic_Park,51.5432961,-0.0165517,Park
14,Kensington_Palace,51.5058372,-0.1877239,Palace
15,ZSL_London_Zoo,51.5352875,-0.1534303,Zoo
16,Westminster_Abbey,51.4992921,-0.1273097,Precinct
17,Seven_Dials,51.5137738,-0.1269988,Shopping
18,Cutty_Sark,51.4828646,-0.0095917,Museum
19,Shakespeare's_Globe,51.508076,-0.097194,Historical
20,Alexandra_Palace,51.5941783,-0.1307733,Entertainment
21,Natural_History_Museum,51.496715,-0.1763672,Museum
22,The_London_Dungeon,51.5025119,-0.1187628,Entertainment
23,Brent_Cross_Shopping_Centre,51.5765893,-0.2232729,Shopping
24,Museum_of_London,51.5176183,-0.0967782,Museum
25,The_Sherlock_Holmes_Museum,51.523767,-0.1585557,Museum
26,The_Harry_Potter_Shop_at_Platform_9_3/4,51.5321845,-0.1239217,Shopping
27,Victoria_Park,51.5365614,-0.038972,Park
28,Millennium_Bridge,51.5095291,-0.0985425,Transport
29,Royal_Air_Force_Museum,51.5978438,-0.2380909,Museum
30,Churchill_War_Rooms,51.5021585,-0.1293572,Museum
