poiID,poiName,poiLat,poiLon,poiTheme
1,Plaza_Mayor,40.415511,-3.7074009,Historical
2,El_Retiro_Park,40.4152606,-3.6844995,Park
3,San_Miguel_Market,40.4154223,-3.709022,Shopping
4,Museo_Nacional_del_Prado,40.4137818,-3.6921271,Museum
5,Royal_Palace_of_Madrid,40.417955,-3.714312,Palace
6,Museo_Nacional_Centro_de_Arte_Reina_Sofia,40.4079123,-3.6945569,Museum
7,Thyssen-Bornemisza_Museum,40.4160406,-3.6949254,Museum
8,Madrid_Zoo_Aquarium,40.4095117,-3.7616759,Zoo
9,Plaza_de_Toros_de_Las_Ventas,40.4320996,-3.6633074,Museum
10,Parque_de_Atracciones_de_Madrid,40.4118609,-3.7500892,Amusement
11,CaixaForum_Madrid,40.411112,-3.693571,Museum
12,Faunia,40.3920374,-3.6124205,Zoo
13,Palacio_de_Cristal,40.4136266,-3.6820397,Palace
14,Museo_del_Ferrocarril_de_Madrid,40.3987727,-3.6915246,Museum
15,National_Archaeological_Museum,40.423553,-3.689402,Museum
16,Museo_Sorolla,40.4354363,-3.6925173,Museum
17,National_Museum_of_Natural_Sciences,40.4409237,-3.6897093,Museum
18,Sabatini_Gardens,40.420332,-3.7140039,Palace
19,Museo_Naval,40.4175299,-3.6926346,Museum
20,Museo_del_Romanticismo,40.425889,-3.6987766,Museum
21,Museo_Municipal_de_Historia,40.425798,-3.70072,Museum
22,Museo_del_Aire,40.3649647,-3.804246,Museum
23,Museo_del_Traje,40.4401206,-3.7292365,Museum
24,Casita-_Museo_de_Raton_Perez,40.4171846,-3.70543,Museum
25,Madrid_-_Atocha_Cercanias,40.4071782,-3.6889689,Transport
26,Museo_Cerralbo,40.423764,-3.714541,Museum
27,Sala_Recoletos_-_Fundacion_MAPFRE,40.4227262,-3.6921003,Museum
28,Real_Academia_de_Bellas_Artes_de_San_Fernando,40.4177897,-3.7007098,Museum
29,Museum_ABC,40.4276416,-3.7095729,Museum
30,Museum_of_the_Americas,40.4383189,-3.7219663,Museum
